name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
100% Bran,,C,70,4,1,130,,5,6,,25,3,1,0.33,68.402973
100% Natural Bran,,C,120,3,5,,2,8,8,135,0,3,1,1,33.983679
All-Bran,K,C,70,4,1,260,,,5,320,25,3,1,0.33,59.425505
All-Bran with Extra Fiber,K,C,,,0,140,14,8,0,330,25,3,1,0.5,93.704912
Almond Delight,R,C,110,2,2,,1,14,8,,25,3,1,0.75,34.384843
Apple Cinnamon Cheerios,G,C,110,,,180,1.5,10.5,10,70,25,1,1,0.75,29.509541
Apple Jacks,K,C,110,2,0,125,1,11,14,30,25,2,1,1,33.174094
Basic 4,G,C,130,3,2,210,2,18,8,1,25,3,1.33,0.75,37.038562
Bran Chex,R,C,90,2,1,200,4,15,6,125,25,1,1,0.67,49.120253
Bran Flakes,P,C,90,3,0,,5,13,5,190,25,3,1,0.67,53.313813
Cap'n'Crunch,Q,C,120,1,2,220,,12,12,35,25,2,1,0.75,18.042851
Cheerios,G,C,110,6,2,,2,17,1,105,25,1,1,1.25,50.764999
Cinnamon Toast Crunch,G,C,120,1,3,210,0,13,9,45,25,2,1,0.75,19.823573
Clusters,G,C,110,3,2,140,2,13,7,105,25,3,1,0.5,40.400208

